Name,Country
Unknown,\N
135 Airways,United States
1Time Airline,South Africa
2 Sqn No 1 Elementary Flying Training School,United Kingdom
213 Flight Unit,Russia
223 Flight Unit State Airline,Russia
224th Flight Unit,Russia
247 Jet Ltd,United Kingdom
3D Aviation,United States
40-Mile Air,United States
4D Air,Thailand
611897 Alberta Limited,Canada
Ansett Australia,Australia
Abacus International,Singapore
Abelag Aviation,Belgium
Army Air Corps,United Kingdom
Aero Aviation Centre Ltd.,Canada
Aero Servicios Ejecutivos Internacionales,Mexico
Aero Biniza,Mexico
Aero Albatros,Spain
Aigle Azur,France
Aloha Airlines,United States
Alaska Island Air,United States
American Airlines,United States
Aviation Management Corporation,United States
Atlantis Airlines (USA),United States
Aerovista Airlines,United Arab Emirates
Asiana Airlines,Republic of Korea
Askari Aviation,Pakistan
Australia Asia Airlines,Australia
Astro Air International,United States
Afriqiyah Airways,Libya
Afrinat International Airlines,Gambia
Afric'air Express,Ivory Coast
Allegiant Air,United States
Angus Aviation,Canada
Artem-Avia,Ukraine
African Business and Transportations,Democratic Republic of the Congo
Aban Air,Iran
Aerial Oy,Finland
Abakan-Avia,Russia
ABSA - Aerolinhas Brasileiras,Brazil
Abaet,Brazil
Alberta Citylink,Canada
APSA Colombia,Colombia
Aerovias Bueno,Colombia
Aerocenter,AEROCENTER
Antrak Air,Ghana
Airborne Express,United States
ABX Air,United States
ATA Brasil,Brazil
Avcard Services,United Kingdom
Academy Airlines,United States
Aero Comondu,Mexico
Astral Aviation,Kenya
Air Cess,Liberia
Air Aurora,United States
Air Cargo Transportation System,Kenya
Air Charter Service,United Kingdom
Aero Asia International,Pakistan
Air Charters,Canada
Air Togo,Togo
Air Somalia,Somali Republic
Atlas Cargo Lines,Morocco
Airservices Australia,Australia
Advance Leasing Company,United States
Aztec Worldwide Airlines,United States
Air Tindi,Canadian Territories
Antonov Airlines,Ukraine
Air Atlantic Dominicana,Dominican Republic
Advanced Air Co.,Japan
Ada Air,Albania
Aerea Flying Training Organization,Spain
Audeli Air,Spain
Abicar,Ivory Coast
ADC Airlines,Nigeria
Aero Dynamics,United Kingdom
Aerolineas Dominicanas,Dominican Republic
Aerodienst GmbH,Germany
Aerodiplomatic,Mexico
Aerodyne,United States
Avion Taxi,Canada
Adria Airways,Slovenia
Aviones de Sonora,Mexico
Air Dorval,Canada
Airdeal Oy,Finland
Advance Air Charters,Canada
Air Andaman,Thailand
Anderson Aviation,United States
Air Europa,Spain
Air Southwest Ltd.,Canada
Air Special,Czech Republic
Aero Benin,Benin
Aerocesar,AEROCESAR
Aerotrans Airlines,Russia
Aegean Airlines,Greece
Aerofumigaciones Sam,Chile
Aeroexpreso Interamericano,Colombia
