Name,City,Country,Latitude,Longitude,Airport ID,IATA,ICAO
Goroka Airport,Goroka,Papua New Guinea,-6.0816898345900015,145.391998291,1,GKA,AYGA
Madang Airport,Madang,Papua New Guinea,-5.20707988739,145.789001465,2,MAG,AYMD
Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,-5.826789855957031,144.29600524902344,3,HGU,AYMH
Nadzab Airport,Nadzab,Papua New Guinea,-6.569803,146.725977,4,LAE,AYNZ
Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,-9.44338035583496,147.22000122070312,5,POM,AYPY
Wewak International Airport,Wewak,Papua New Guinea,-3.5838301181800003,143.66900634799998,6,WWK,AYWK
Narsarsuaq Airport,Narssarssuaq,Greenland,61.1604995728,-45.4259986877,7,UAK,BGBW
Godthaab / Nuuk Airport,Godthaab,Greenland,64.19090271,-51.678100585900005,8,GOH,BGGH
Kangerlussuaq Airport,Sondrestrom,Greenland,67.0122218992,-50.7116031647,9,SFJ,BGSF
Thule Air Base,Thule,Greenland,76.5311965942,-68.70320129390001,10,THU,BGTL
Akureyri Airport,Akureyri,Iceland,65.66000366210939,-18.07270050048828,11,AEY,BIAR
Egilsstaðir Airport,Egilsstadir,Iceland,65.28330230712889,-14.401399612426758,12,EGS,BIEG
Hornafjörður Airport,Hofn,Iceland,64.295601,-15.2272,13,HFN,BIHN
Húsavík Airport,Husavik,Iceland,65.952301,-17.426001,14,HZK,BIHU
Ísafjörður Airport,Isafjordur,Iceland,66.05809783935547,-23.13529968261719,15,IFJ,BIIS
Keflavik International Airport,Keflavik,Iceland,63.985000610352,-22.605600357056,16,KEF,BIKF
Patreksfjörður Airport,Patreksfjordur,Iceland,65.555801,-23.965,17,PFJ,BIPA
Reykjavik Airport,Reykjavik,Iceland,64.1299972534,-21.9405994415,18,RKV,BIRK
Siglufjörður Airport,Siglufjordur,Iceland,66.133301,-18.9167,19,SIJ,BISI
Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,63.42430114746094,-20.27890014648437,20,VEY,BIVM
Sault Ste Marie Airport,Sault Sainte Marie,Canada,46.48500061035156,-84.5093994140625,21,YAM,CYAM
Winnipeg / St. Andrews Airport,Winnipeg,Canada,50.0564002991,-97.0325012207,22,\N,CYAV
Halifax / CFB Shearwater Heliport,Halifax,Canada,44.639702,-63.499401,23,\N,CYAW
St. Anthony Airport,St. Anthony,Canada,51.391899108900006,-56.083099365200006,24,YAY,CYAY
Tofino / Long Beach Airport,Tofino,Canada,49.079833,-125.775583,25,YAZ,CYAZ
Kugaaruk Airport,Pelly Bay,Canada,68.534401,-89.808098,26,YBB,CYBB
Baie Comeau Airport,Baie Comeau,Canada,49.13249969482422,-68.20439910888672,27,YBC,CYBC
CFB Bagotville,Bagotville,Canada,48.33060073852539,-70.99639892578125,28,YBG,CYBG
Baker Lake Airport,Baker Lake,Canada,64.29889678960001,-96.077796936,29,YBK,CYBK
Campbell River Airport,Campbell River,Canada,49.95080184936523,-125.27100372314452,30,YBL,CYBL
Brandon Municipal Airport,Brandon,Canada,49.91,-99.951897,31,YBR,CYBR
Cambridge Bay Airport,Cambridge Bay,Canada,69.1081008911,-105.138000488,32,YCB,CYCB
Nanaimo Airport,Nanaimo,Canada,49.0549702249,-123.869862556,33,YCD,CYCD
Castlegar/West Kootenay Regional Airport,Castlegar,Canada,49.2963981628,-117.632003784,34,YCG,CYCG
Miramichi Airport,Chatham,Canada,47.007801,-65.449203,35,YCH,CYCH
