Airline,Source airport,Destination airport,Stops,Destination airport ID,Source airport ID,Equipment
2B,AER,KZN,0,2990,2965,CR2
2B,ASF,KZN,0,2990,2966,CR2
2B,ASF,MRV,0,2962,2966,CR2
2B,CEK,KZN,0,2990,2968,CR2
2B,CEK,OVB,0,4078,2968,CR2
2B,DME,KZN,0,2990,4029,CR2
2B,DME,NBC,0,6969,4029,CR2
2B,DME,TGK,0,\N,4029,CR2
2B,DME,UUA,0,6160,4029,CR2
2B,EGO,KGD,0,2952,6156,CR2
2B,EGO,KZN,0,2990,6156,CR2
2B,GYD,NBC,0,6969,2922,CR2
2B,KGD,EGO,0,6156,2952,CR2
2B,KZN,AER,0,2965,2990,CR2
2B,KZN,ASF,0,2966,2990,CR2
2B,KZN,CEK,0,2968,2990,CR2
2B,KZN,DME,0,4029,2990,CR2
2B,KZN,EGO,0,6156,2990,CR2
2B,KZN,LED,0,2948,2990,CR2
2B,KZN,SVX,0,2975,2990,CR2
2B,LED,KZN,0,2990,2948,CR2
2B,LED,NBC,0,6969,2948,CR2
2B,LED,UUA,0,6160,2948,CR2
2B,MRV,ASF,0,2966,2962,CR2
2B,NBC,DME,0,4029,6969,CR2
2B,NBC,GYD,0,2922,6969,CR2
2B,NBC,LED,0,2948,6969,CR2
2B,NBC,SVX,0,2975,6969,CR2
2B,NJC,SVX,0,2975,2972,CR2
2B,NJC,UUA,0,6160,2972,CR2
2B,NUX,SVX,0,2975,4364,CR2
2B,OVB,CEK,0,2968,4078,CR2
2B,OVB,SVX,0,2975,4078,CR2
2B,SVX,KZN,0,2990,2975,CR2
2B,SVX,NBC,0,6969,2975,CR2
2B,SVX,NJC,0,2972,2975,CR2
2B,SVX,NUX,0,4364,2975,CR2
2B,SVX,OVB,0,4078,2975,CR2
2B,TGK,DME,0,4029,\N,CR2
2B,UUA,DME,0,4029,6160,CR2
2B,UUA,LED,0,2948,6160,CR2
2B,UUA,NJC,0,2972,6160,CR2
2G,BTK,IKT,0,2937,2936,A81
2G,BTK,OVB,0,4078,2936,A81
2G,CEK,OVB,0,4078,2968,A81
2G,HTA,IKT,0,2937,2935,AN4
2G,IKT,BTK,0,2936,2937,A81
2G,IKT,HTA,0,2935,2937,AN4
2G,IKT,KCK,0,\N,2937,AN4
2G,IKT,ODO,0,8944,2937,AN4
2G,IKT,OVB,0,4078,2937,A81
2G,IKT,UKX,0,6924,2937,AN4
2G,IKT,ULK,0,9026,2937,AN4
2G,IKT,YKS,0,2923,2937,A81
2G,KCK,IKT,0,2937,\N,AN4
2G,MJZ,OVB,0,4078,2925,A81
2G,ODO,IKT,0,2937,8944,AN4
2G,OVB,BTK,0,2936,4078,A81
2G,OVB,CEK,0,2968,4078,A81
2G,OVB,IKT,0,2937,4078,A81
2G,UKX,IKT,0,2937,6924,AN4
2G,ULK,IKT,0,2937,9026,AN4
2G,YKS,IKT,0,2937,2923,A81
2I,AYP,LIM,0,2789,2786,142
2I,CUZ,LIM,0,2789,2812,142 141
2I,CUZ,PEM,0,2808,2812,142
2I,HUU,LIM,0,2789,6067,141
2I,IQT,PCL,0,2781,2801,143
2I,IQT,TPP,0,2806,2801,142
2I,LIM,AYP,0,2786,2789,142
2I,LIM,CUZ,0,2812,2789,142 141
2I,LIM,HUU,0,6067,2789,141
2I,LIM,PCL,0,2781,2789,143 146
2I,LIM,TPP,0,2806,2789,142 146
2I,PCL,IQT,0,2801,2781,143
2I,PCL,LIM,0,2789,2781,143 146
2I,PCL,TPP,0,2806,2781,146
2I,PEM,CUZ,0,2812,2808,142
2I,TPP,IQT,0,2801,2806,142
2I,TPP,LIM,0,2789,2806,142 146
2I,TPP,PCL,0,2781,2806,146
2J,ABJ,BOY,0,247,253,CRJ
2J,ABJ,OUA,0,246,253,E70 CRJ M87
2J,ACC,OUA,0,246,248,CRJ
2J,BKO,ABJ,0,253,1044,M87
2J,BKO,DKR,0,1084,1044,M87
2J,BKO,OUA,0,246,1044,CRJ
2J,BOY,ABJ,0,253,247,CRJ
2J,BOY,OUA,0,246,247,CRJ
2J,COO,LFW,0,298,245,M87
2J,COO,OUA,0,246,245,M87
2J,DKR,BKO,0,1044,1084,M87
2J,DKR,OUA,0,246,1084,M87
2J,LFW,OUA,0,246,298,M87 CRJ
2J,NIM,OUA,0,246,280,CRJ
2J,OUA,ABJ,0,253,246,E70 CRJ M87
2J,OUA,ACC,0,248,246,CRJ
2J,OUA,BKO,0,1044,246,M87 CRJ
2J,OUA,BOY,0,247,246,CRJ
2J,OUA,COO,0,245,246,M87
2J,OUA,DKR,0,1084,246,M87
